sentence,intent,sub_intent
"I want to know about mutual funds.",investment_info,mutual_funds_inquiry
"Tell me the current mutual fund rates.",investment_info,mutual_funds_inquiry
"Where can I learn about mutual funds?",investment_info,mutual_funds_inquiry
"What are the best mutual funds to invest in?",investment_info,mutual_funds_inquiry
"How do mutual funds work?",investment_info,mutual_funds_inquiry
"Can you give advice on mutual fund investments?",investment_info,mutual_funds_inquiry
"Explain types of mutual funds available.",investment_info,mutual_funds_inquiry
"History of mutual fund returns please.",investment_info,mutual_funds_inquiry
"Any beginner tips for mutual fund investing?",investment_info,mutual_funds_inquiry
"What risks are involved in mutual funds?",investment_info,mutual_funds_inquiry

"How do I check my investment returns?",investment_info,investment_returns
"Show me performance of my investments.",investment_info,investment_returns
"Where can I track return on investment?",investment_info,investment_returns
"Advice on how to grow my savings?",investment_info,investment_returns
"What are typical returns on investments?",investment_info,investment_returns
"Help me analyze my portfolio returns.",investment_info,investment_returns
"How can I improve my investment returns?",investment_info,investment_returns
"Tell me about dividend payments.",investment_info,investment_returns
"Are investment returns taxable?",investment_info,investment_returns
"Where can I see my profit and loss?",investment_info,investment_returns

"Should I invest in stocks?",investment_info,stock_market_query
"Basics of trading stocks please.",investment_info,stock_market_query
"Stock market trends today.",investment_info,stock_market_query
"How to buy and sell shares?",investment_info,stock_market_query
"What's a stock index?",investment_info,stock_market_query
"Suggestions for good stocks to buy?",investment_info,stock_market_query
"Explain risks in stock market investing.",investment_info,stock_market_query
"How to track stock prices?",investment_info,stock_market_query
"Difference between stocks and bonds?",investment_info,stock_market_query
"Is stock market investment safe?",investment_info,stock_market_query

"Can you help with expense tracking?","budgeting","expense_tracking"
"How do I reduce unnecessary spending?","budgeting","expense_tracking"
"Manage my weekly expenses.","budgeting","expense_tracking"
"Automate my savings plan.","budgeting","budget_planning"
"Show me my last month's expenditure.","budgeting","expense_tracking"
"Need help with financial planning.","budgeting","budget_planning"
"Calculate budget for groceries.","budgeting","budget_planning"
"Monthly vs weekly budget, which is better?","budgeting","budget_planning"
"How to improve saving habits?","budgeting","saving_tips"
"What percent should I save?","budgeting","saving_tips"

"Financial planning tips?","budgeting","budget_planning"
"How can I be more frugal?","budgeting","saving_tips"
"I want to control my shopping habit.","budgeting","saving_tips"
"Budget plan for college student.","budgeting","budget_planning"
"How do I break a bad spending cycle?","budgeting","saving_tips"
"What's envelope budgeting?","budgeting","budget_planning"
"Budgeting app recommendations?","budgeting","budget_planning"
"What’s the current interest for personal loans?","loan_info","loan_interest_info"
"Am I eligible for a home loan?","loan_info","loan_eligibility_check"
"How do I apply for an education loan?","loan_info","loan_apply_steps"

"Explain EMI calculations.","loan_info","loan_apply_steps"
"Good time to refinance loan?","loan_info","loan_apply_steps"
"Difference between fixed and floating loans?","loan_info","loan_interest_info"
"Show me my loan statement.","loan_info","loan_statement"
"How to prepay my loan?","loan_info","loan_apply_steps"
"Loan approval requirements?","loan_info","loan_apply_steps"
"Maximum tenure for car loans?","loan_info","loan_apply_steps"
"Is top-up loan possible?","loan_info","loan_apply_steps"
"Can I get a no-collateral loan?","loan_info","loan_apply_steps"
"Tell me about credit score impact.","loan_info","loan_interest_info"

"How do I block a card?",card_issue,card_lost_blocked
"My debit card is missing, please help block it.",card_issue,card_lost_blocked
"I want to report my card as stolen.",card_issue,card_lost_blocked
"Urgently block my lost credit card.",card_issue,card_lost_blocked
"What are the steps to block my card?",card_issue,card_lost_blocked
"Can I disable my lost card?",card_issue,card_lost_blocked
"How to report a lost or stolen card?",card_issue,card_lost_blocked
"Card lost—need to block transactions ASAP.",card_issue,card_lost_blocked
"Freeze my lost card quickly.",card_issue,card_lost_blocked
"I lost my card",card_issue,card_lost_blocked

"How do I activate my new card?",card_issue,card_activation
"Step-by-step card activation help.",card_issue,card_activation
"Activate my debit card.",card_issue,card_activation
"Is there a way to enable my new credit card?",card_issue,card_activation
"Card activation process needed.",card_issue,card_activation
"Help me with card activation.",card_issue,card_activation
"Can I activate the card online?",card_issue,card_activation
"How long does card activation take?",card_issue,card_activation
"Card activation not working, please assist.",card_issue,card_activation
"Guide me on activating my card.",card_issue,card_activation

"I want to order a replacement card.",card_issue,card_replacement
"What is the process to replace my damaged card?",card_issue,card_replacement
"How can I get a new card?",card_issue,card_replacement
"Request a replacement debit card.",card_issue,card_replacement
"Steps for card replacement?",card_issue,card_replacement
"My card looks worn out and needs replacement.",card_issue,card_replacement
"Apply for a new credit card.",card_issue,card_replacement
"Replace lost card urgently.",card_issue,card_replacement
"Can I order a card replacement online?",card_issue,card_replacement
"Help me get a replacement card.",card_issue,card_replacement

"Payment did not go through.",payment_problem,upi_payment_failure
"My transaction through UPI failed.",payment_problem,upi_payment_failure
"Can't complete my payment.",payment_problem,upi_payment_failure
"Money not deducted but not credited.",payment_problem,upi_payment_failure
"Trouble while paying via UPI.",payment_problem,upi_payment_failure
"Transaction failed on my phone.",payment_problem,upi_payment_failure
"UPI payment error occurred.",payment_problem,upi_payment_failure
"Why did my UPI payment fail?",payment_problem,upi_payment_failure
"Send money failed using UPI.",payment_problem,upi_payment_failure
